"","x","fit"
"1",1,0.0208640642367289
"2",2,0.0706974616430512
"3",3,0.132376400612854
"4",4,0.181786655235397
"5",5,0.196691835949917
"6",6,0.17087534169296
"7",7,0.119132550339093
"8",8,0.066051179741703
"9",9,0.0287336780157094
"10",10,0.00965402542441651
"11",11,0.00246266094293346
"12",12,0.000468512469094337
"13",13,6.52693428062822e-05
"14",14,6.53604668768519e-06
"15",15,4.61778208929853e-07
"16",16,2.25912896363086e-08
"17",17,7.51137286935505e-10
"18",18,1.66597607287567e-11
"19",19,2.4194594259712e-13
"20",20,2.25856127857328e-15
"21",21,1.3304910262719e-17
"22",22,4.85626478644616e-20
"23",23,1.07842385307976e-22
"24",24,1.43087900548054e-25
"25",25,1.11407780097977e-28
"26",26,4.99969181320159e-32
"27",27,1.27041175090793e-35
"28",28,1.79564140785547e-39
"29",29,1.38710677579131e-43
"30",30,5.75435755660125e-48
"31",31,1.2597988655595e-52
"32",32,1.4304808935405e-57
"33",33,8.28010452054747e-63
"34",34,2.40157051488646e-68
"35",35,3.4310653647538e-74
"36",36,2.37377590233628e-80
"37",37,7.81923336874327e-87
"38",38,1.20579053108384e-93
"39",39,8.5598136704248e-101
"40",40,2.75089627560841e-108
"41",41,3.93608725987866e-116
"42",42,2.46620187284651e-124
"43",43,6.65560713875291e-133
"44",44,7.61012648930228e-142
"45",45,3.62675962474632e-151
"46",46,7.08716999136899e-161
"47",47,5.587079914984e-171
"48",48,1.74828141976182e-181
"49",49,2.13665207523712e-192
"50",50,1.00359484776238e-203
"51",51,1.78285220002478e-215
"52",52,1.17884911067254e-227
"53",53,2.85537870638576e-240
"54",54,2.49362420687369e-253
"55",55,7.72825271185704e-267
"56",56,8.3667632399742e-281
"57",57,3.11475223062696e-295
"58",58,3.92522135889623e-310
"59",59,0
"60",60,0
"61",61,0
"62",62,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"67",67,0
"68",68,0
"69",69,0
"70",70,0
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,0
"76",76,0
"77",77,0
"78",78,0
"79",79,0
"80",80,0
"81",81,0
"82",82,0
"83",83,0
"84",84,0
"85",85,0
"86",86,0
"87",87,0
"88",88,0
"89",89,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,0
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"99",99,0
"100",100,0
