Country,Type,Event,Date effective,Link
Philippines,Schools + Universities,,13.03.2020,
Philippines,Public events,,13.03.2020,
Philippines,Lockdown,,17.03.2020,
Philippines,Social distancing encouraged,,2.03.2020,
Philippines,Self-isolating if ill,,2.03.2020,
Malaysia,Schools + Universities,,18.03.2020,
Malaysia,Public events,,7.03.2020,
Malaysia,Lockdown,,31.12.2020,
Malaysia,Social distancing encouraged,,18.03.2020,
Malaysia,Self-isolating if ill,,30.01.2020,
Laos,Schools + Universities,,,
Laos,Public events,,,
Laos,Lockdown,,,
Laos,Social distancing encouraged,,,
Laos,Self-isolating if ill,,,
